Id,Type,Price,Square,Building,Address,Latitude,Longitude,Link
75,супермаркет,26400.0,22.0,жилой дом,"Санкт-Петербург, Уральская ул., 13",59.9533476,30.26158265,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_22_m_2033075222
76,супермаркет,414000.0,207.0,жилой дом,"Санкт-Петербург, Наличная ул., 44к1",59.9520893,30.2330151,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_207_m_u_metro_primorskaya_2484641740
77,супермаркет,45000.0,33.3,жилой дом,"Санкт-Петербург, Наличная улица, 44к1",59.9520893,30.2330151,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_33.3_m_2876218361
80,супермаркет,135000.0,90.0,жилой дом,"Санкт-Петербург, Капитанская ул., 4",59.9550569,30.2131948,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_90_m_2935446418
81,супермаркет,50000.0,90.0,жилой дом,"Санкт-Петербург, Морская наб., 37к5",59.9590529,30.225252369186716,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/sdam_pomeschenie_svobodnogo_naznacheniya_90_m_2960449323
84,супермаркет,145000.0,98.0,жилой дом,"Санкт-Петербург, ул. Челюскина, 8",59.9420677,30.18654238394605,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_98_m_2980567209
86,супермаркет,190000.0,152.0,жилой дом,"Санкт-Петербург, 15 линия , 84",59.946333,30.25993482747336,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/sdam_pomeschenie_svobodnogo_naznacheniya_152_m_2873215018
87,супермаркет,65000.0,50.0,жилой дом,"Санкт-Петербург, 15 линия , 68",59.9441108,30.2635416,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_50_m_2022332712
88,супермаркет,90000.0,100.0,жилой дом,"Санкт-Петербург, 1 линия , 32",59.9040741,29.714804,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_100_m_2777429176
90,супермаркет,145000.0,96.0,жилой дом,"Санкт-Петербург, 15 линия , 76",59.9453463,30.26073461864429,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/ofis_96_m_2891470728
91,супермаркет,288025.0,5.0,жилой дом,"Санкт-Петербург, ул. Челюскина, 6",59.9416713,30.190683999954462,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/uglovoe_fasadnoe_1405m2_2709181814
93,супермаркет,79200.0,52.8,жилой дом,"Санкт-Петербург, Уральская ул., 21",59.956105,30.252471,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_52.8_m_2716190941
94,супермаркет,701600.0,350.8,жилой дом,"Санкт-Петербург, Кадетская линия, 25",59.94530725,30.286717438727933,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_350.8_m_2740560075
96,супермаркет,145000.0,174.0,жилой дом,"Санкт-Петербург, 20 линия , 13",59.82469555,30.25472729302649,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_174_m_2697636272
97,супермаркет,80000.0,10.0,жилой дом,"Санкт-Петербург, Наличная ул., 40к1",59.9490301,30.2323757,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_10_m_1027585351
98,супермаркет,90000.0,61.0,жилой дом,"Санкт-Петербург, 14 линия , 35",59.9433746,30.266466500000003,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/arenda_psn_61_m_2986232904
99,супермаркет,130000.0,153.0,жилой дом,"Санкт-Петербург, Среднегаванский проспект, 13",59.930204,30.2414874,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_153_m_2530799683
100,супермаркет,200000.0,94.0,жилой дом,"Санкт-Петербург, Уральская ул., 21",59.956105,30.252471,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_94_m_2914989324
102,супермаркет,250000.0,173.0,жилой дом,"Санкт-Петербург, 15 линия , 84",59.946333,30.25993482747336,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/sdam_pomeschenie_svobodnogo_naznacheniya_173_m_2873581641
103,супермаркет,140000.0,150.0,жилой дом,"Санкт-Петербург, ул. Челюскина, 2",59.9413557,30.1944928,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_150_m_2721395808
106,супермаркет,99500.0,88.0,жилой дом,"Санкт-Петербург, 14 линия , 11/38",59.9360897,30.2740342,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_88_m_2423640558
107,супермаркет,99500.0,88.0,жилой дом,"Санкт-Петербург, 14 линия , 11/38",59.9360897,30.2740342,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_88_m_2753985475
108,супермаркет,80000.0,80.0,жилой дом,"Санкт-Петербург, Уральская улица, 21",59.956105,30.252471,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_80_m_2764608802
109,супермаркет,100000.0,100.0,жилой дом,"Санкт-Петербург, Уральская ул., 21",59.956105,30.252471,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_100_m_2321064538
110,супермаркет,610000.0,404.0,жилой дом,"Санкт-Петербург, ул. Шевченко, 27",59.9381674,30.2426145,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_404_m_2641806072
112,супермаркет,70000.0,106.0,жилой дом,"Санкт-Петербург, 9 линия , 58",59.906315,29.7141766,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/kommercheskoe_pomeschenie_106_m_u_m.vasileostrovskaya_1589702675
113,супермаркет,417000.0,400.0,жилой дом,"Санкт-Петербург, Наличная ул., 44к1",59.9520893,30.2330151,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_400_m_2756423903
114,супермаркет,30000.0,27.5,жилой дом,"Санкт-Петербург, 26 линия , 15Б",59.8232153,30.2505007,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/arenda_kabineta_s_med.litsenziey_27.5_m_3170616214
115,супермаркет,50000.0,46.6,жилой дом,"Санкт-Петербург, 6 линия , 23",59.9079611,29.7053011,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_46.6_m_2982498437
117,супермаркет,701600.0,350.8,жилой дом,"Санкт-Петербург, Кадетская линия, 25",59.94530725,30.286717438727933,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/uglovoe._svobodnogo_naznacheniya_350.8_m_2915603346
118,магазин,570400.0,570.4,отдельное здание,"Санкт-Петербург, ул. Нахимова, 9",59.87272325,29.97448135,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/arenda_pomescheniya_v_rayone_m._primorskaya_570.4_m_2724415932
119,супермаркет,99997.0,88.0,жилой дом,"Санкт-Петербург, 14 линия , 11/38",59.9360897,30.2740342,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/sdam_pomeschenie_svobodnogo_naznacheniya_88_m_2910624270
120,супермаркет,500.0,15.5,жилой дом,"Санкт-Петербург, 26 линия , 15Б",59.8232153,30.2505007,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/arenda_kabineta_s_med.litsenziey_chasden_15.5_m_3170634089
